condition,metric,direction,practical_threshold,replicates,n,reference_mean,condition_mean,raw_delta_mean,raw_delta_median,raw_delta_ci95_low,raw_delta_ci95_high,benefit_mean,benefit_median,benefit_ci95_low,benefit_ci95_high,classification,practical_wins,practical_ties,practical_losses,condition_to_reference_ratio,size_interpretation
gate_1,dice_label_1,1,0.01,1,12,0.5145807360354756,0.5154840776154552,0.0009033415799795889,0.0006194210920361376,-0.0012552663597549653,0.0032404458137663345,0.0009033415799795889,0.0006194210920361376,-0.001253365825550477,0.0031961251227629714,practical_equivalence,0,12,0,1.0017554904735442,
gate_1,dice_label_2,1,0.01,1,13,0.6718905953913041,0.6589944931456218,-0.01289610224568243,-0.00034368287459451974,-0.034820954645269665,0.0018195535269373091,-0.01289610224568243,-0.00034368287459451974,-0.035013305447121286,0.0017701490507985463,inconclusive_or_mixed,1,10,2,0.9808062468292598,
gate_1,hd95_after_mm,-1,1.5,1,15,8.476718513762489,8.739778331160293,0.263059817397805,0.0,-0.018357028905668038,0.6301898874454286,-0.263059817397805,0.0,-0.6240712522637123,0.020023453101962903,practical_equivalence,0,13,2,1.0310332137336766,
gate_1,assd_after_mm,-1,0.5,1,15,2.240134311065376,2.34342825415765,0.10329394309227397,-0.0006955602000470185,-0.018024938384350406,0.28693656030937753,-0.10329394309227397,0.0006955602000470185,-0.28655698192768886,0.01789066663692025,practical_equivalence,0,13,2,1.0461106026464766,
gate_1,negative_jacobian_ratio,-1,0.001,1,16,0.0044694899588648695,0.004446945120434975,-2.25448384298943e-05,-9.765615686774254e-06,-6.994345221755793e-05,1.565991569805191e-05,2.25448384298943e-05,9.765615686774254e-06,-1.5087164319993462e-05,7.030487904557958e-05,practical_equivalence,0,16,0,0.9949558364293495,
gate_1,below_safe_jacobian_ratio,-1,0.01,1,16,0.17194583779200912,0.17045798944309354,-0.001487848348915577,-0.0005509927868843079,-0.0026947222067974508,-0.000551333511248231,0.001487848348915577,0.0005509927868843079,0.0005509125767275691,0.002728774782735853,practical_equivalence,0,16,0,0.9913469940998786,
gate_1,minimum_jacobian,1,0.1,1,16,-4.485636368393898,-3.6235345527529716,0.8621018156409264,0.4317866563796997,0.21600599773228168,1.5755138373002409,0.8621018156409264,0.4317866563796997,0.21640570387244226,1.5641055699437854,meaningful_benefit,10,2,4,0.8078083587614558,
gate_1,mean_displacement_mm,,0.75,1,16,6.854046031832695,6.774667248129845,-0.07937878370285034,-0.037804603576660156,-0.14115041680634022,-0.03588466234505177,,,,,,,,,0.9884186970244748,smaller
gate_1,p95_displacement_mm,,1.5,1,16,17.596948862075806,17.451433211565018,-0.14551565051078796,-0.09399533271789551,-0.22554139494895936,-0.08239215388894082,,,,,,,,,0.9917306317333002,smaller
gaussian_no_residual,ncc_after,1,0.005,1,16,0.5333500150591135,0.5251249019056559,-0.008225113153457642,-0.0033983439207077026,-0.01383954230695963,-0.0034432002808898695,-0.008225113153457642,-0.0033983439207077026,-0.013832912174984812,-0.0033919926267117293,meaningful_harm,0,9,7,0.984578395197859,
gaussian_no_residual,dice_after,1,0.01,1,15,0.5943615802059627,0.5685819579443784,-0.02577962226158431,-0.0036928049306015343,-0.05345857853964493,-0.0062438544400415,-0.02577962226158431,-0.0036928049306015343,-0.053846676467511366,-0.006055718196328152,meaningful_harm,0,9,6,0.9566263649601123,
gaussian_no_residual,dice_label_1,1,0.01,1,12,0.5145807360354756,0.507024160575343,-0.007556575460132404,-0.002462173002515694,-0.015172375396244183,-0.0015295913384163068,-0.007556575460132404,-0.002462173002515694,-0.014602609365406987,-0.0015151968172530783,inconclusive_or_mixed,0,8,4,0.9853150828801885,
gaussian_no_residual,dice_label_2,1,0.01,1,13,0.6718905953913041,0.6435554665827051,-0.02833512880859903,-0.00539184635969403,-0.0615143410653098,-0.0020582088899616293,-0.02833512880859903,-0.00539184635969403,-0.06201691608067971,-0.00239536289155925,meaningful_harm,2,6,5,0.9578277639202603,
gaussian_no_residual,hd95_after_mm,-1,1.5,1,15,8.476718513762489,9.467775082923039,0.9910565691605512,0.23837793389683704,0.18054789121407452,2.1900748080065298,-0.9910565691605512,-0.23837793389683704,-2.201989874408144,-0.18735280876998467,inconclusive_or_mixed,0,12,3,1.1169151208160926,
gaussian_no_residual,assd_after_mm,-1,0.5,1,15,2.240134311065376,2.611281505660903,0.37114719459552636,0.05865888905475369,0.07852463096620615,0.8080445261015639,-0.37114719459552636,-0.05865888905475369,-0.7999245262750144,-0.0773910250470965,inconclusive_or_mixed,0,13,2,1.1656807776043636,
gaussian_no_residual,negative_jacobian_ratio,-1,0.001,1,16,0.0044694899588648695,0.0039884566322143655,-0.000481033326650504,-0.00047378509771078825,-0.0008430963847786188,-0.0001081404920114438,0.000481033326650504,0.00047378509771078825,0.00011010645284841303,0.0008383590156881837,practical_equivalence,4,11,1,0.8923739999244402,
gaussian_no_residual,below_safe_jacobian_ratio,-1,0.01,1,16,0.17194583779200912,0.14013459836132824,-0.03181123943068087,-0.03344055265188217,-0.04483678955584764,-0.01915511764818804,0.03181123943068087,0.03344055265188217,0.019335958949523047,0.044661860208725555,meaningful_benefit,11,4,1,0.8149926753728072,
gaussian_no_residual,minimum_jacobian,1,0.1,1,16,-4.485636368393898,-3.931797217577696,0.5538391508162022,0.35939693450927734,-0.5069112744182348,1.6397562946192914,0.5538391508162022,0.35939693450927734,-0.520004497282207,1.6708822712302207,inconclusive_or_mixed,10,0,6,0.8765305287074558,
gaussian_no_residual,mean_displacement_mm,,0.75,1,16,6.854046031832695,3.1521009355783463,-3.7019450962543488,-4.388133883476257,-4.519408337213099,-2.836890166066587,,,,,,,,,0.4598890817101078,smaller
